ID,TahunID,ProdiID,ProgramID,MKID,HariID,DosenID,AsistenType,AsistenID,RuangID,WaktuID,WaktuID2,JamMulai,JamSelesai,JumlahMhsw,UTSTanggal,UTSJamMulai,UTSJamSelesai,UTSRuangID,UASTanggal,UASJamMulai,UASJamSelesai,UASRuangID,Elearning,gabungan,IDJadwalGabungan,MKKode,KelasID,GrupKelasID,UTSPengawas1,UTSPengawas2,UASPengawas1,UASPengawas2,status,KodeWaktu,Teamteaching,Force,Bond,glue,Penanda
84,3,3,1,9,4,17,NULL,NULL,8,8,10,15:00:00,17:50:00,35,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,20,ARC1021,1,20,0,0,0,0,Y,,1,0,NULL,9_1_20_3,Z
85,3,3,1,3,5,8,NULL,NULL,9,3,4,10:00:00,11:50:00,10,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,21,UNI1001,1,8,0,0,0,0,Y,,1,0,A,3_1_8_3,C
86,3,4,1,3,5,8,NULL,NULL,9,3,4,10:00:00,11:50:00,19,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,21,UNI1001,1,8,0,0,0,0,Y,,0,0,A,3_1_8_3,C
87,3,6,1,2,5,47,NULL,NULL,2,3,4,10:00:00,11:50:00,25,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,22,UNI1003,1,5,0,0,0,0,Y,,1,0,B,2_1_5_3,A
88,3,7,1,2,5,47,NULL,NULL,2,3,4,10:00:00,11:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,22,UNI1003,1,5,0,0,0,0,Y,,0,0,B,2_1_5_3,A
89,3,13,1,2,5,47,NULL,NULL,2,3,4,10:00:00,11:50:00,15,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,22,UNI1003,1,5,0,0,0,0,Y,,0,0,B,2_1_5_3,A
90,3,4,1,15,5,6,NULL,NULL,5,6,7,13:00:00,14:50:00,30,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,23,CEM1031,1,19,0,0,0,0,Y,,1,0,NULL,15_1_19_3,Z
94,3,13,1,17,5,37,NULL,NULL,1,1,2,08:00:00,09:50:00,52,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,25,HBP1007,1,18,0,0,0,0,Y,,1,0,NULL,17_1_18_3,Z
97,3,3,1,11,3,18,NULL,NULL,8,6,10,13:00:00,17:50:00,35,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,28,ARC1041,1,20,0,0,0,0,Y,,1,0,NULL,11_1_20_3,Z
98,3,13,1,18,6,38,NULL,NULL,6,1,2,08:00:00,09:50:00,52,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,29,HBP1008,1,18,0,0,0,0,Y,,1,0,NULL,18_1_18_3,Z
99,3,3,1,11,6,18,NULL,NULL,8,1,4,08:00:00,11:50:00,35,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,30,ARC1041,1,20,0,0,0,0,Y,,1,0,NULL,11_1_20_3,Z
101,3,6,1,5,6,4,NULL,NULL,5,3,4,10:00:00,11:50:00,30,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,32,UNI1002,1,15,0,0,0,0,Y,,0,0,E,5_1_15_3,Z
102,3,7,1,5,6,4,NULL,NULL,5,3,4,10:00:00,11:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,32,UNI1002,1,15,0,0,0,0,Y,,0,0,E,5_1_15_3,Z
103,3,13,1,19,6,38,NULL,NULL,6,3,4,10:00:00,11:50:00,52,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,33,HBP1009,1,18,0,0,0,0,Y,,1,0,NULL,19_1_18_3,Z
104,3,6,1,5,6,4,NULL,NULL,5,7,8,14:00:00,15:50:00,25,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,34,UNI1002,1,13,0,0,0,0,Y,,1,0,E,5_1_13_3,Z
105,3,7,1,5,6,4,NULL,NULL,5,7,8,14:00:00,15:50:00,15,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,34,UNI1002,1,13,0,0,0,0,Y,,0,0,E,5_1_13_3,Z
106,3,13,1,18,6,38,NULL,NULL,6,7,10,14:00:00,17:50:00,52,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,35,HBP1008,1,18,0,0,0,0,Y,,1,0,NULL,18_1_18_3,Z
107,3,3,1,11,6,18,NULL,NULL,8,7,10,14:00:00,17:50:00,35,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,36,ARC1041,1,20,0,0,0,0,Y,,1,0,NULL,11_1_20_3,Z
108,3,13,1,17,5,37,NULL,NULL,6,6,9,13:00:00,16:50:00,52,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,37,HBP1007,1,18,0,0,0,0,Y,,1,0,NULL,17_1_18_3,Z
109,3,3,1,8,5,20,NULL,NULL,8,6,8,13:00:00,15:50:00,35,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,38,ARC1011,1,20,0,0,0,0,Y,,1,0,NULL,8_1_20_3,Z
117,3,6,1,1,2,13,NULL,NULL,5,6,7,13:00:00,14:50:00,27,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,42,UNI1004,1,4,0,0,0,0,Y,,1,0,C,1_1_4_3,A
118,3,7,1,1,2,13,NULL,NULL,5,6,7,13:00:00,14:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,42,UNI1004,1,4,0,0,0,0,Y,,1,0,C,1_1_4_3,A
119,3,13,1,1,2,13,NULL,NULL,5,6,7,13:00:00,14:50:00,15,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,42,UNI1004,1,4,0,0,0,0,Y,,1,0,C,1_1_4_3,A
120,3,6,1,1,3,13,NULL,NULL,2,3,4,10:00:00,11:50:00,17,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,43,UNI1004,1,6,0,0,0,0,Y,,0,0,C,1_1_6_3,B
121,3,7,1,1,3,13,NULL,NULL,2,3,4,10:00:00,11:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,43,UNI1004,1,6,0,0,0,0,Y,,0,0,C,1_1_6_3,B
122,3,13,1,1,3,13,NULL,NULL,2,3,4,10:00:00,11:50:00,25,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,43,UNI1004,1,6,0,0,0,0,Y,,1,0,C,1_1_6_3,B
