ID,CurriculumID,Semester,CurriculumTypeID,ProdiID,EducationLevelID,MKID,MKCode,MKType,LecturerNIP,CoursesGroupsID,TotalSKS,SKSTeori,SKSPraktikum,SKSPraktikLapangan,StatusMK,PreconditionMKID,StatusSilabus,StatusSAP,UpdateBy,UpdateAt
41,1,2,1,3,NULL,31,SOC2004,1,1114053,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
42,1,2,1,3,NULL,32,SOC2005,1,1114053,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
43,1,2,1,3,NULL,33,SOC2006,1,1114053,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
44,1,2,1,1,NULL,36,ARC2012,1,2114045,NULL,3,2,1,0,NULL,,0,0,2017090,2018-01-08 10:10:10
45,1,2,1,1,NULL,35,ARC2022,1,2114041,NULL,3,1,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
46,1,2,1,1,NULL,37,ARC2032,1,2114002,NULL,3,1,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
47,1,2,1,1,NULL,38,ARC2061,1,2114040,NULL,3,2,1,0,NULL,,0,0,2017090,2018-01-08 10:10:10
48,1,2,1,4,NULL,28,UNI2005,1,1114005,NULL,4,4,0,0,NULL,3,0,0,2017090,1/8/2018 10:10
49,1,2,1,4,NULL,29,SOC2002,1,1114055,NULL,4,4,0,0,NULL,4,0,0,2017090,1/8/2018 10:10
50,1,2,1,4,NULL,30,SOC2003,1,1114058,NULL,4,4,0,0,NULL,2,0,0,2017090,1/8/2018 10:10
51,1,2,1,4,NULL,31,SOC2004,1,1114053,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
52,1,2,1,4,NULL,32,SOC2005,1,1114013,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
53,1,2,1,4,NULL,33,SOC2006,1,1114053,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
54,1,2,2,5,NULL,28,UNI2005,1,1114005,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
55,1,2,2,5,NULL,30,SOC2003,1,1114058,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
56,1,2,2,5,NULL,39,HBP2017T,1,3114016,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
57,1,2,1,5,NULL,42,HBP2001T,1,3114039,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
58,1,2,1,5,NULL,41,HBP2003T,1,3114016,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
59,1,2,1,5,NULL,40,HBP2005T,1,3114014,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
60,1,2,1,2,NULL,43,CEM2041,1,2215084,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
61,1,2,1,4,NULL,46,ACC2101,1,1214044,NULL,1,0,1,0,NULL,,0,0,2017090,2018-01-08 10:10:10
62,1,2,1,1,NULL,34,ARC2042,1,2114033,NULL,6,2,4,0,NULL,,0,0,2017090,2018-01-08 10:10:10
63,1,2,1,5,NULL,47,HBP2017P,1,3114016,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
64,1,2,1,5,NULL,50,HBP2005P,1,3114016,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
65,1,2,1,5,NULL,51,HBP2003P,1,3114014,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
66,1,2,1,5,NULL,52,HBP2001P,1,3114039,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
67,1,3,1,3,NULL,53,SOC3001,1,1215032,NULL,3,3,0,0,NULL,5,0,0,2017090,1/8/2018 10:10
68,1,3,1,3,NULL,54,SOC3002,1,1115027,NULL,3,3,0,0,NULL,5,0,0,2017090,1/8/2018 10:10
69,1,3,1,3,NULL,55,SOC3003,1,1114005,NULL,3,3,0,0,NULL,33,0,0,2017090,1/8/2018 10:10
70,1,3,1,3,NULL,56,SOC3004,1,3015087,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
71,1,3,1,3,NULL,57,ENT3001,1,1114053,NULL,4,4,0,0,NULL,3,0,0,2017090,1/8/2018 10:10
72,1,3,1,3,NULL,58,SOC2107,1,1115027,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
73,1,3,1,2,NULL,68,CEM3011,1,2215008,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
74,1,3,1,2,NULL,70,CEM3032,1,2215017,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
75,1,3,1,2,NULL,71,CEM3042,1,2215008,NULL,3,2,1,0,NULL,,0,0,2017090,2018-01-08 10:10:10
76,1,3,1,2,NULL,72,CEM3043,1,2215084,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
77,1,3,1,2,NULL,73,CEM3052,1,2215017,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
78,1,3,1,5,NULL,77,HBP3017,1,3114038,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
79,1,3,1,5,NULL,78,HBP3012,1,3114016,NULL,8,0,0,8,NULL,,0,0,2017090,2018-01-08 10:10:10
80,1,3,1,4,NULL,59,ACC3001,1,1215032,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
81,1,3,2,4,NULL,58,SOC2107,1,1115027,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
82,1,3,1,4,NULL,56,SOC3004,1,3015087,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
83,1,3,2,4,NULL,54,SOC3002,1,1115027,NULL,3,3,0,0,NULL,66,0,0,2017090,1/8/2018 10:10
84,1,3,1,4,NULL,60,ACC3002,1,1215032,NULL,4,4,0,0,NULL,66,0,0,2017090,1/8/2018 10:10
85,1,3,1,4,NULL,55,SOC3003,1,1114005,NULL,3,3,0,0,NULL,33,0,0,2017090,1/8/2018 10:10
86,1,3,2,1,NULL,79,ARC 3013,1,2114040,NULL,3,2,1,0,NULL,,0,0,2017090,2018-01-08 10:10:10
87,1,3,1,1,NULL,80,ARC3023,1,2114041,NULL,3,1,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
88,1,3,2,1,NULL,81,ARC 3033,1,2114045,NULL,3,1,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
89,1,3,1,1,NULL,82,ARC 3043,1,2114033,NULL,6,2,4,0,NULL,,0,0,2017090,2018-01-08 10:10:10
90,1,3,1,1,NULL,1,UNI1004,1,1114053,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
91,1,3,1,1,NULL,83,MKU004 ,1,2114002,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
92,1,3,1,1,NULL,84,MKU001,1,3015016,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
93,1,3,1,2,NULL,101,CEM3031,1,2214036,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
94,1,6,2,2,NULL,89,MKU002,1,3015016,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
95,1,6,1,2,NULL,83,MKU004 ,1,1014073,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
96,1,4,1,3,NULL,104,SOC4005,1,1115027,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
97,1,4,1,3,NULL,106,SOC4007,1,1115054,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
98,1,4,1,3,NULL,105,SOC4006,1,1114080,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
99,1,4,2,3,NULL,107,SOC4008,1,1115027,NULL,4,4,0,0,NULL,58,0,0,2017090,1/8/2018 10:10
100,1,4,1,3,NULL,109,ENT4002,1,1115054,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
101,1,4,1,3,NULL,108,SOC4009,1,1115018,NULL,1,1,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
102,1,4,1,1,NULL,156,ARC4051,1,2114045,NULL,3,2,1,0,NULL,,0,0,2017090,2018-01-08 10:10:10
103,1,4,1,1,NULL,157,ARC4034,1,2114045,NULL,3,2,1,0,NULL,,0,0,2017090,2018-01-08 10:10:10
104,1,4,1,1,NULL,158,ARC4044,1,2114040,NULL,6,2,4,0,NULL,,0,0,2017090,2018-01-08 10:10:10
105,1,4,2,1,NULL,159,ARC4081,0,2114002,NULL,3,1,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
106,1,4,2,1,NULL,160,ARC4024,1,2114042,NULL,3,1,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
