ID,SemesterID,ProgramsCampusID,BaseProdiID,MKID,MKCode,Teacher,TeamTeaching,DayID,ClassroomID,ClassGroup,StartSessions,EndSessions
882,6,1,3,152,ARC0006,2114041,0,6,6,92,09:00:00,11:50:00
883,6,1,3,154,ARC0008,2114033,1,6,8,93,08:00:00,09:50:00
884,6,1,3,154,ARC0008,2114033,1,6,8,93,10:00:00,11:50:00
885,6,1,3,154,ARC0008,2114033,1,6,8,93,14:00:00,15:50:00
886,6,1,3,154,ARC0008,2114033,1,6,8,93,16:00:00,17:50:00
887,6,1,13,126,HBP4017T,3114039,0,2,17,108,08:00:00,09:50:00
888,6,1,13,118,HOT0008,3114038,0,2,3,105,08:00:00,09:50:00
889,6,1,13,118,HOT0008,3114038,0,2,3,102,10:00:00,11:50:00
890,6,1,13,120,HOT0010,3114014,0,2,2,101,08:00:00,09:50:00
891,6,1,13,120,HOT0010,3114014,0,2,2,104,10:00:00,11:50:00
892,6,1,6,110,PUN0004,1114080,0,2,17,96,13:00:00,14:50:00
893,6,1,6,110,PUN0004,1114080,0,2,17,96,13:00:00,14:50:00
894,6,1,6,110,PUN0004,1116013,0,2,18,98,13:00:00,14:50:00
895,6,1,13,110,PUN0004,1116013,0,2,18,98,13:00:00,14:50:00
896,6,1,13,104,SOC4005,3114038,0,2,15,107,13:00:00,14:50:00
900,6,1,13,119,HOT0009,3114038,0,3,4,106,10:00:00,11:50:00
901,6,1,13,119,HOT0009,3114038,0,3,4,106,08:00:00,09:50:00
902,6,1,13,119,HOT0009,3114038,0,3,4,105,14:00:00,15:50:00
903,6,1,13,119,HOT0009,3114038,0,3,4,105,16:00:00,17:50:00
904,6,1,13,125,HOT0015,3114016,0,3,12,103,08:00:00,09:50:00
905,6,1,13,125,HOT0015,3114016,0,3,12,103,10:00:00,11:50:00
906,6,1,13,125,HOT0015,3114016,0,3,12,102,14:00:00,15:50:00
907,6,1,13,125,HOT0015,3114016,0,3,12,102,16:00:00,17:50:00
908,6,1,13,121,HOT0010,3114039,1,3,11,102,08:00:00,09:50:00
909,6,1,13,121,HOT0010,3114039,1,3,11,102,10:00:00,11:50:00
910,6,1,13,121,HOT0010,3114039,1,3,11,103,14:00:00,15:50:00
911,6,1,13,121,HOT0010,3114039,1,3,11,103,16:00:00,17:50:00
912,6,1,13,123,HOT0013,3116015,0,3,22,105,08:00:00,09:50:00
913,6,1,13,123,HOT0013,3116015,0,3,22,105,10:00:00,11:50:00
914,6,1,13,123,HOT0013,3116015,0,3,22,106,14:00:00,15:50:00
915,6,1,13,123,HOT0013,3116015,0,3,22,106,16:00:00,17:50:00
916,6,1,13,129,HBP4014,3115061,0,5,2,107,15:00:00,16:50:00
917,6,1,13,105,SOC4006,1015022,0,2,15,107,15:00:00,16:50:00
918,6,1,13,119,HOT0009,3115061,0,4,4,103,08:00:00,09:50:00
919,6,1,13,119,HOT0009,3115061,0,4,4,103,10:00:00,11:50:00
920,6,1,13,119,HOT0009,3115061,0,4,4,102,14:00:00,15:50:00
921,6,1,13,119,HOT0009,3115061,0,4,4,102,16:00:00,17:50:00
922,6,1,13,125,HOT0015,3115006,0,4,12,106,08:00:00,09:50:00
923,6,1,13,125,HOT0015,3115006,0,4,12,106,10:00:00,11:50:00
924,6,1,13,125,HOT0015,3115006,0,4,12,105,14:00:00,15:50:00
925,6,1,13,125,HOT0015,3115006,0,4,12,105,16:00:00,17:50:00
926,6,1,13,121,HOT0010,3114039,1,4,11,105,08:00:00,09:50:00
927,6,1,13,121,HOT0010,3114039,1,4,11,105,10:00:00,11:50:00
928,6,1,13,121,HOT0010,3114039,1,4,11,106,14:00:00,15:50:00
929,6,1,13,121,HOT0010,3114039,1,4,11,106,16:00:00,17:50:00
930,6,1,13,123,HOT0013,3116015,0,4,22,102,08:00:00,09:50:00
931,6,1,13,123,HOT0013,3116015,0,4,22,102,10:00:00,11:50:00
932,6,1,13,123,HOT0013,3116015,0,4,22,103,14:00:00,15:50:00
933,6,1,13,123,HOT0013,3116015,0,4,22,103,16:00:00,17:50:00
934,6,1,13,128,HBP4013,3114016,0,5,2,107,08:00:00,09:50:00
935,6,1,13,130,HBP4011,3115006,0,5,2,107,10:00:00,12:50:00
936,6,1,13,104,SOC4005,3114038,0,5,1,107,13:00:00,14:50:00
937,6,1,13,124,HOT0014,3115061,0,5,3,104,08:00:00,09:50:00
938,6,1,13,124,HOT0014,3115061,0,5,5,101,10:00:00,11:50:00
939,6,1,13,122,HOT0012,3114014,0,5,5,101,08:00:00,09:50:00
940,6,1,13,122,HOT0012,3114014,0,5,3,104,10:00:00,11:50:00
941,6,1,13,127,HBP4017P,3114016,0,6,4,108,08:00:00,09:50:00
942,6,1,13,127,HBP4017P,3114016,0,6,4,108,10:00:00,11:50:00
943,6,1,13,127,HBP4017P,3114016,0,6,4,109,14:00:00,15:50:00
944,6,1,13,127,HBP4017P,3114016,0,6,4,109,16:00:00,17:50:00
945,6,1,6,110,PUN0004,1114080,0,6,17,96,10:00:00,11:50:00
946,6,1,6,110,PUN0004,1114080,0,6,17,96,10:00:00,11:50:00
947,6,1,6,110,PUN0004,1116013,0,6,18,98,10:00:00,11:50:00
948,6,1,6,110,PUN0004,1116013,0,6,18,98,10:00:00,11:50:00
950,6,1,4,163,CEM0009A,2215010,0,2,2,110,13:00:00,14:50:00
951,6,1,4,147,CEM4052,2215017,0,3,15,111,13:00:00,14:50:00
952,6,1,4,142,CEM0008,2215008,0,3,2,110,09:00:00,11:50:00
