MKID,SemesterID,ProgramCampusID,MKCode,ClassGroup,NIP,DayID,StartSessions,EndSessions,ClassroomID,UpdateBy,UpdateAt
119,7,1,HOT0009,HBP3B-2,3115061,5,13:00,16:20,18,2017233,2018-01-30 22:35:155
407,7,1,ENT2238,ENT6,1117084,2,8:00,11:20,18,2017234,2018-01-30 22:35:156
419,7,1,HOT0020,HBP13B-2,1017080,1,13:00,16:20,18,2017235,2018-01-30 22:35:157
420,7,1,HOT0019,HBP12B-2,1017080,1,10:00,11:40,18,2017236,2018-01-30 22:35:158
347,7,1,ARC2214,ARC5,2114041,4,8:00,12:00,19,2017237,2018-01-30 22:35:159
347,7,1,ARC2214,ARC5,2114041,4,13:00,17:00,19,2017238,2018-01-30 22:35:160
347,7,1,ARC2214,ARC5,2114040,1,8:00,12:00,19,2017239,2018-01-30 22:35:161
347,7,1,ARC2214,ARC5,2114040,1,13:00,17:00,19,2017240,2018-01-30 22:35:162
343,7,1,ARC1212,ARC1A,2116012,2,8:00,12:00,19,2017241,2018-01-30 22:35:163
343,7,1,ARC1212,ARC1A,2116012,5,8:00,12:00,19,2017242,2018-01-30 22:35:164
343,7,1,ARC1212,ARC1A,2116012,2,13:00,17:00,19,2017243,2018-01-30 22:35:165
343,7,1,ARC1212,ARC1A,2116012,5,13:00,17:00,19,2017244,2018-01-30 22:35:166
350,7,1,ARC2473,ARC8,2317041,3,9:00,11:30,19,2017245,2018-01-30 22:35:167
346,7,1,ARC1242,ARC4A,2114002,4,8:00,12:00,20,2017246,2018-01-30 22:35:168
346,7,1,ARC1242,ARC4B,2114002,4,13:00,17:00,20,2017247,2018-01-30 22:35:169
353,7,1,ARC3216,ARC12B,2116042,1,8:00,12:00,20,2017248,2018-01-30 22:35:170
353,7,1,ARC3216,ARC12B,2116042,1,13:00,17:00,20,2017249,2018-01-30 22:35:171
353,7,1,ARC3216,ARC12B,2117077,3,13:00,17:00,20,2017250,2018-01-30 22:35:172
118,7,1,HOT0008,HBP2C-1,3114014,5,10:00,11:40,21,2017251,2018-01-30 22:35:173
119,7,1,HOT0009,HBP3C-1,3114014,5,13:00,16:20,21,2017252,2018-01-30 22:35:174
431,7,1,ENT3222,ENT10,1114080,2,10:00,11:40,21,2017253,2018-01-30 22:35:175
419,7,1,HOT0020,HBP13C-1,3116015,1,13:00,16:20,21,2017254,2018-01-30 22:35:176
420,7,1,HOT0019,HBP12C-1,3116015,1,10:00,11:40,21,2017255,2018-01-30 22:35:177
421,7,1,HOT0021,HBP14B,3117079,4,13:00,14:40,21,2017256,2018-01-30 22:35:178
534,7,1,CEM3416,CEM19,2215017,4,10:00,11:40,22,2017263,2018-01-30 22:35:185
356,7,1,ENV1202,ENV3,2616007,4,13:00,15:30,22,2017264,2018-01-30 22:35:186
377,7,1,CEM2221,CEM9,2217015,2,13:00,15:30,22,2017265,2018-01-30 22:35:187
369,7,1,CEM1211,CEM4,2217057,4,8:00,9:40,22,2017266,2018-01-30 22:35:188
386,7,1,LAW1202,LAW3,3017071,2,8:00,9:40,22,2017267,2018-01-30 22:35:189
348,7,1,ARC2244,ARC6,2114002,2,8:00,12:00,23,2017268,2018-01-30 22:35:190
353,7,1,ARC3216,ARC12B,2114042,5,8:00,12:00,23,2017269,2018-01-30 22:35:191
353,7,1,ARC3216,ARC12B,2114042,5,13:00,17:00,23,2017270,2018-01-30 22:35:192
370,7,1,CEM1221,CEM5,2217002,4,13:00,15:30,23,2017271,2018-01-30 22:35:193
374,7,1,CEM2211,CEM6,2217057,1,15:00,16:40,23,2017272,2018-01-30 22:35:194
541,7,1,URP1203,URP3,2517042,4,8:00,10:30,23,2017273,2018-01-30 22:35:195
533,7,1,CEM4211,CEM20,2217096,3,8:00,9:40,23,2017274,2018-01-30 22:35:196
