ID,SemesterID,YearCode,NPM,ScheduleID,MKCode,MKName,MKNameEng,Evaluasi1,Evaluasi2,Evaluasi3,Evaluasi4,Evaluasi5,UTS,UAS,Score,Grade,Approval,TotalSKS
6802,6,20152,12140008,1048,ACC6006,"Auditing 1","Auditing 1",80,80,80,80,80,76,81,79.20,B+,1,4
6803,6,20152,12140013,1048,ACC6006,"Auditing 1","Auditing 1",85,85,85,85,85,65,86,79.40,B+,1,4
6804,6,20152,12140015,1048,ACC6006,"Auditing 1","Auditing 1",80,80,80,80,80,82,80,80.60,A-,1,4
3696,5,20151,12140001,757,MKU001,Pancasila,Pancasila,75,80,,,,67,74,72.95,B,1,2
4069,5,20151,12140003,757,MKU001,Pancasila,Pancasila,80,82,,,,98,92,90.50,A,1,2
4070,5,20151,12140004,757,MKU001,Pancasila,Pancasila,80,80,,,,95,86,86.90,A,1,2
4071,5,20151,12140007,757,MKU001,Pancasila,Pancasila,80,82,,,,90,92,88.10,A,1,2
4072,5,20151,12140008,757,MKU001,Pancasila,Pancasila,80,83,,,,78,87,82.65,A-,1,2
4073,5,20151,12140013,757,MKU001,Pancasila,Pancasila,80,85,,,,93,98,91.85,A,1,2
4074,5,20151,12140002,757,MKU001,Pancasila,Pancasila,80,85,,,,85,86,84.65,A-,1,2
4075,5,20151,12140011,757,MKU001,Pancasila,Pancasila,80,85,,,,90,94,89.35,A,1,2
4136,5,20151,12140015,757,MKU001,Pancasila,Pancasila,80,85,,,,90,88,86.95,A,1,2
3537,5,20151,11140008,647,MKU002,Citizenship,Citizenship,70,75,,,,67,76,72.25,B,1,2
3703,5,20151,11140024,647,MKU002,Citizenship,Citizenship,75,70,,,,69,80,74.45,B,1,2
5558,5,20151,11140006,647,MKU002,Citizenship,Citizenship,80,85,,,,95,89,88.85,A,1,2
3766,5,20151,22140008,763,"MKU004 ",Religion,Religion,78,80,,,,93,83,85.50,A,1,2
4023,5,20151,22140002,763,"MKU004 ",Religion,Religion,80,85,,,,93,83,86.30,A,1,2
5545,5,20151,22140013,763,"MKU004 ",Religion,Religion,80,80,,,,84,83,82.60,A-,1,2
5587,5,20151,22140012,763,"MKU004 ",Religion,Religion,80,80,,,,89,83,84.30,A-,1,2
5621,5,20151,22140018,763,"MKU004 ",Religion,Religion,78,80,,,,90,83,84.40,A-,1,2
5660,5,20151,22140011,763,"MKU004 ",Religion,Religion,75,80,,,,85,83,82.30,A-,1,2
3402,4,20142,31140002,594,HBP2017T,"French A1-1 Theory","French A1-1 Theory",95,96,100,,,82.5,79,85.63,A,1,2
3403,4,20142,31140003,594,HBP2017T,"French A1-1 Theory","French A1-1 Theory",95,59,50,,,75,69,70.80,B,1,2
3405,4,20142,31140009,594,HBP2017T,"French A1-1 Theory","French A1-1 Theory",100,98,100,,,99,91,96.30,A,1,2
3406,4,20142,31140011,594,HBP2017T,"French A1-1 Theory","French A1-1 Theory",40,38,75,,,80,65,66.05,B-,1,2
3407,4,20142,31140012,594,HBP2017T,"French A1-1 Theory","French A1-1 Theory",100,88,75,,,78,72.5,78.97,B+,1,2
3408,4,20142,31140014,594,HBP2017T,"French A1-1 Theory","French A1-1 Theory",85,70,90,,,89,84,85.05,A,1,2
