ID,SemesterID,YearCode,NPM,ScheduleID,MKCode,MKName,MKNameEng,Evaluasi1,Evaluasi2,Evaluasi3,Evaluasi4,Evaluasi5,UTS,UAS,Score,Grade,Approval,TotalSKS
7468,6,20152,31140012,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",67,,,,,60,67,64.50,C+,1,2
7469,6,20152,31140017,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",40,,,,,55,40,45.20,D,1,2
7470,6,20152,31140023,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",59,,,,,39,59,52.00,D,1,2
7471,6,20152,31140037,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",40,,,,,41,40,40.30,D,1,2
7580,6,20152,31140004,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",61,,,,,36,61,52.20,D,1,2
7581,6,20152,31140020,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",47,,,,,37,47,43.50,D,1,2
7582,6,20152,31140021,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",65,,,,,37,65,55.20,D,1,2
7588,6,20152,31140022,941,HBP4017P,"French A2-1 Practical","French A2-1 Practical",,98,,,,55,79,61.60,C+,1,2
7602,6,20152,31140013,941,HBP4017P,"French A2-1 Practical","French A2-1 Practical",,96,,,,55,71,58.50,C,1,2
7603,6,20152,31140025,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",73,,,,,73,73,73.00,B,1,2
7628,6,20152,31140015,941,HBP4017P,"French A2-1 Practical","French A2-1 Practical",75,98,,,,54,74,70.75,B,1,2
7643,6,20152,31140027,941,HBP4017P,"French A2-1 Practical","French A2-1 Practical",,94,,,,55,69,57.50,C,1,2
7656,6,20152,31140006,941,HBP4017P,"French A2-1 Practical","French A2-1 Practical",,96,,,,55,71,58.50,C,1,2
7514,6,20152,31140001,934,HBP4013,"HR in Hospitality","HR in Hospitality",70,75,80,80,80,80,80,79.10,B+,1,2
7515,6,20152,31140002,934,HBP4013,"HR in Hospitality","HR in Hospitality",90,95,90,90,90,95,90,92.00,A,1,2
7516,6,20152,31140003,934,HBP4013,"HR in Hospitality","HR in Hospitality",70,70,85,85,85,80,85,81.40,A-,1,2
7517,6,20152,31140005,934,HBP4013,"HR in Hospitality","HR in Hospitality",80,80,80,80,80,80,85,81.70,A-,1,2
7518,6,20152,31140008,934,HBP4013,"HR in Hospitality","HR in Hospitality",90,95,95,95,90,100,95,96.10,A,1,2
